Date,Open,High,Low,Close,Volume,time
2014-07-04,585.65997314,591.38000488,585.65997314,589.34997559,132764000,1404439200
2014-07-07,592.22998047,594.84002686,589.60998535,590.69000244,127746000,1404698400
2014-07-08,591.63000488,593.40002441,588.53997803,591.4699707,96629000,1404784800
2014-07-09,591.82000732,593.41998291,590.46002197,591.59997559,109820000,1404871200
2014-07-10,591.21002197,591.34997559,581.48999023,584.88000488,152832000,1404957600
2014-07-11,584.28997803,586.57000732,580.53997803,582.77001953,78299000,1405044000
2014-07-14,583.54998779,586.22998047,581.98999023,586.22998047,68062000,1405303200
2014-07-15,587.91998291,590.09002686,587.67999268,589.30999756,137425000,1405389600
2014-07-16,594.13000488,594.28997803,589.67999268,589.67999268,138139000,1405476000
2014-07-17,588.98999023,591.41998291,586.07000732,590.36999512,96551000,1405562400
2014-07-18,590.90002441,596.26000977,589.33001709,596.26000977,144370000,1405648800
2014-07-21,598.10998535,604.64001465,596.96002197,601.03997803,111555000,1405908000
2014-07-22,599.29998779,600.92999268,594.84997559,597.97998047,103903000,1405994400
2014-07-23,599.55999756,599.55999756,594.09997559,597.5,65415000,1406080800
2014-07-24,597.0300293,602.48999023,597.0300293,602.05999756,87860000,1406167200
2014-07-25,603.53997803,605.7800293,600.14001465,600.14001465,99969000,1406253600
2014-07-28,599.13000488,599.34997559,587.7800293,589.45001221,111541000,1406512800
2014-07-29,590.57000732,592.23999023,585.75,592.23999023,62283000,1406599200
2014-07-30,591.15002441,593.58001709,588.5300293,589.33001709,81073000,1406685600
2014-07-31,589.34997559,596.10998535,587.67999268,596.07000732,64623000,1406772000
2014-08-01,594.65997314,596.79998779,592.38000488,593.90002441,65130000,1406858400
2014-08-04,592.03997803,600.52001953,592.03997803,599.03997803,71641000,1407117600
2014-08-05,600.46002197,607.72998047,599.09997559,607.72998047,86633000,1407204000
2014-08-06,607.95001221,610.88000488,605.63000488,606.70001221,94020000,1407290400
2014-08-07,603.94000244,608.41998291,603.13000488,607.61999512,91130000,1407376800
2014-08-08,607.17999268,610.09002686,604.08001709,605.42999268,108881000,1407463200
2014-08-11,602.7800293,607.15997314,600.47998047,602.13000488,87720000,1407722400
2014-08-12,600.52001953,604.89001465,598.71002197,601.7800293,82998000,1407808800
2014-08-13,601.0300293,604.51000977,599.64001465,602.76000977,95741000,1407895200
2014-08-14,605.0300293,607.84002686,604.08001709,605.25,112025000,1407981600
2014-08-15,605.25,608.46002197,603.23999023,604.23999023,105895000,1408068000
2014-08-18,605.41998291,607.78997803,603.33001709,605.08001709,139413000,1408327200
2014-08-19,607.27001953,609.03997803,603.60998535,604.64001465,134150000,1408413600
2014-08-20,604.29998779,608.7199707,602.80999756,606.70001221,107832000,1408500000
2014-08-21,608.90997314,616.96002197,608.58001709,612.94000244,151001000,1408586400
2014-08-22,614.51000977,622.9699707,614.51000977,620.14001465,163547000,1408672800
2014-08-25,622.71002197,629.58001709,622.15997314,625.88000488,182015000,1408932000
2014-08-26,627.13000488,631.16998291,625.09997559,629.05999756,135434000,1409018400
2014-08-27,630.84002686,632.25,624.67999268,628.77001953,157141000,1409104800
2014-08-28,627.40997314,635.94000244,626.32000732,632.0300293,164370000,1409191200
2014-08-29,634.90997314,640.19000244,631.10998535,636.65002441,189882000,1409277600
2014-09-03,640.69000244,644.55999756,638.95001221,640.75,204660000,1409709600
2014-09-04,638.59997559,642.88000488,636.55999756,640.2199707,163378000,1409796000
2014-09-05,640.63000488,641.96002197,638.54998779,638.65002441,161906000,1409882400
2014-09-08,641.88000488,642.7199707,639.19000244,639.84997559,182225000,1410141600
2014-09-09,640.5,641.20001221,622.76000977,626.91998291,280300000,1410228000
2014-09-10,625.59002686,630.0300293,618.53997803,628.79998779,141622000,1410314400
